market,lookback,atr_mult,touches,trend,n,n_is,n_oos,pf_is,pf_oos,wr,avg_r
BTCUSDT,3,0.2,3,none,360,193,167,0.778,0.846,32.2,-0.121
BTCUSDT,3,0.2,3,ema200,213,114,99,0.896,1.447,39.4,0.083
BTCUSDT,3,0.3,2,none,478,274,204,0.865,0.923,35.6,-0.063
BTCUSDT,3,0.3,2,ema200,333,192,141,1.065,1.262,39.6,0.089
BTCUSDT,3,0.3,3,none,379,211,168,0.955,0.906,35.6,-0.038
BTCUSDT,3,0.3,3,ema200,251,141,110,1.128,1.263,41.0,0.112
BTCUSDT,3,0.4,2,none,423,248,175,0.845,1.024,36.9,-0.048
BTCUSDT,3,0.4,2,ema200,317,181,136,0.983,1.373,41.0,0.082
BTCUSDT,3,0.4,3,none,356,208,148,0.879,0.969,37.4,-0.046
BTCUSDT,3,0.4,3,ema200,255,144,111,0.962,1.431,42.0,0.089
BTCUSDT,3,0.5,2,none,400,240,160,0.78,0.716,35.0,-0.149
BTCUSDT,3,0.5,2,ema200,296,171,125,0.877,1.417,41.9,0.048
BTCUSDT,3,0.5,3,none,326,191,135,0.725,0.796,36.2,-0.139
BTCUSDT,3,0.5,3,ema200,248,138,110,0.85,1.256,41.5,0.014
BTCUSDT,4,0.2,2,none,471,273,198,0.89,0.752,32.1,-0.11
BTCUSDT,4,0.2,2,ema200,268,150,118,1.087,1.141,38.4,0.073
BTCUSDT,4,0.2,3,none,271,144,127,0.814,0.998,35.4,-0.063
BTCUSDT,4,0.2,3,ema200,144,74,70,1.084,1.605,43.8,0.179
BTCUSDT,4,0.3,2,none,427,250,177,0.868,0.834,34.2,-0.089
BTCUSDT,4,0.3,2,ema200,270,149,121,1.029,1.296,40.0,0.087
BTCUSDT,4,0.3,3,none,295,159,136,0.874,0.973,36.6,-0.045
BTCUSDT,4,0.3,3,ema200,173,89,84,0.919,1.516,41.6,0.107
BTCUSDT,4,0.4,2,none,385,231,154,0.832,0.897,34.8,-0.086
BTCUSDT,4,0.4,2,ema200,272,155,117,1.06,1.375,42.6,0.106
BTCUSDT,4,0.4,3,none,294,168,126,0.893,0.983,37.1,-0.034
BTCUSDT,4,0.4,3,ema200,197,105,92,0.882,1.386,41.6,0.059
BTCUSDT,4,0.5,2,none,363,216,147,0.856,0.678,36.1,-0.127
BTCUSDT,4,0.5,2,ema200,258,149,109,1.031,1.356,43.0,0.088
BTCUSDT,4,0.5,3,none,283,162,121,0.996,0.757,38.5,-0.059
BTCUSDT,4,0.5,3,ema200,202,107,95,1.117,1.124,42.1,0.067
BTCUSDT,5,0.2,2,none,403,228,175,0.965,0.811,33.7,-0.063
BTCUSDT,5,0.2,2,ema200,223,123,100,1.088,1.105,38.1,0.064
BTCUSDT,5,0.2,3,none,203,114,89,0.654,1.086,33.5,-0.111
BTCUSDT,5,0.2,3,ema200,102,51,51,0.965,1.597,42.2,0.148
BTCUSDT,5,0.3,2,none,385,225,160,0.862,0.883,34.5,-0.078
BTCUSDT,5,0.3,2,ema200,226,124,102,1.031,1.309,40.7,0.09
BTCUSDT,5,0.3,3,none,237,132,105,0.845,0.807,35.0,-0.107
BTCUSDT,5,0.3,3,ema200,138,68,70,1.011,1.227,40.6,0.072
BTCUSDT,5,0.4,2,none,350,210,140,0.861,0.92,36.0,-0.064
BTCUSDT,5,0.4,2,ema200,233,134,99,0.995,1.588,42.9,0.119
BTCUSDT,5,0.4,3,none,254,141,113,0.83,1.023,35.8,-0.046
BTCUSDT,5,0.4,3,ema200,156,80,76,1.021,1.471,42.9,0.123
BTCUSDT,5,0.5,2,none,318,190,128,0.772,0.848,36.8,-0.109
BTCUSDT,5,0.5,2,ema200,219,126,93,1.001,1.359,43.4,0.077
BTCUSDT,5,0.5,3,none,244,134,110,0.946,0.913,38.5,-0.034
BTCUSDT,5,0.5,3,ema200,161,84,77,0.973,1.199,42.2,0.046
BTCUSDT,6,0.2,2,none,357,199,158,0.919,0.921,34.7,-0.047
BTCUSDT,6,0.2,2,ema200,178,101,77,0.979,1.335,39.3,0.079
BTCUSDT,6,0.2,3,none,164,92,72,0.605,1.06,32.3,-0.14
BTCUSDT,6,0.2,3,ema200,74,37,37,0.929,1.534,41.9,0.119
BTCUSDT,6,0.3,2,none,358,208,150,0.818,0.909,34.6,-0.087
BTCUSDT,6,0.3,2,ema200,193,107,86,0.983,1.429,41.5,0.1
BTCUSDT,6,0.3,3,none,191,103,88,0.715,0.995,35.1,-0.1
BTCUSDT,6,0.3,3,ema200,96,47,49,0.89,1.665,43.8,0.139
BTCUSDT,6,0.4,2,none,321,182,139,0.954,0.939,38.6,-0.026
BTCUSDT,6,0.4,2,ema200,191,109,82,1.152,1.497,45.0,0.152
BTCUSDT,6,0.4,3,none,207,107,100,0.73,0.951,37.2,-0.093
BTCUSDT,6,0.4,3,ema200,109,53,56,1.089,1.351,45.0,0.114
BTCUSDT,6,0.5,2,none,290,170,120,0.979,0.922,40.0,-0.02
BTCUSDT,6,0.5,2,ema200,181,103,78,0.995,1.497,44.2,0.096
BTCUSDT,6,0.5,3,none,212,117,95,0.896,1.004,40.1,-0.024
BTCUSDT,6,0.5,3,ema200,127,70,57,1.126,1.374,46.5,0.114
